Sports club,Sports,James Gomez,sports.meridian.org
Health Center,Health and Hospital,Mrs. Yulia Eremenko,https://health.org
GIS Mapping Portal,Mapping,Marcus Vance,https://gis.meridian.org
Water Quality Monitor,Utilities,Greg House,https://water.meridian.org
Street Light Inventory,Public Works,Maria Santos,https://lights.meridian.org
Zoning & Land Use Map,Planning,Arthur Pendelton,https://zoning.meridian.org
Animal Shelter System,Public Safety,Clara Oswald,https://animals.meridian.org
Procurement & Bidding Hub,Finance,Harold Finch,https://bids.meridian.org
Facility Booking System,Operations,Linda Hamilton,https://facilities.meridian.org
Parking Enforcement Tracker,Transportation,Frank Drebin,https://parking.meridian.org
Employee Training Portal,Internal,Sarah Connor,https://training.meridian.org
Community Center Portal,Recreation,Tony Stark,https://community.meridian.org
Environmental Health Tracker,Compliance,Bruce Banner,https://health.meridian.org
Traffic Signage Inventory,Public Works,Peter Parker,https://signs.meridian.org
Economic Development Hub,Administration,Natasha Romanoff,https://grow.meridian.org
Mayor Correspondence System,Executive Office,Pepper Potts,https://mayor.meridian.org
Event Permits Portal,Licensing,Clark Kent,https://events.meridian.org
IT Asset Management,IT Support,Steve Rogers,https://it-assets.meridian.org
Parks & Recreation Scheduler,Parks,Leslie Knope,https://parks.meridian.org
Building Inspection Logs,Code Enforcement,Bob Vance,https://inspect.meridian.org
Library Catalog System,Library Services,Hermione Granger,https://library.meridian.org
Fire Dispatch Logs,Emergency Services,Chief Wiggum,https://fire.meridian.org
